10838671,"22120 87 AVENUE NW",123500
1067222,"1710 17 STREET NW",11062500
3054285,"12325 MOUNT LAWN ROAD NW",3749000
7156201,"7912 109 STREET NW",334000
10838642,"8711 221 STREET NW",126500
9944658,"4050 MERIDIAN STREET NW",3708500
10797337,"107-7508 GETTY GATE NW",132000
1170455,"12905 114 STREET NW",380500
10831605,"1729 DUMONT CRESCENT SW",122500
10838615,"8003 223 STREET NW",116500
10838629,"22329 80 AVENUE NW",117500
10838517,"12811 203 STREET NW",172500
10797393,"320-7508 GETTY GATE NW",202000
1084557,"7706 159 STREET NW",813000
10831558,"1237 DANIELS CRESCENT SW",147500
2325751,"12955 114 STREET NW",264500
10838598,"22408 80 AVENUE NW",121000
10831540,"1763 DUMONT CRESCENT SW",114000
10130534,"14-171 BRINTNELL BOULEVARD NW",267000
10831532,"1779 DUMONT CRESCENT SW",114000
10838553,"16824 65 STREET NW",104500
10099423,"349-10121 80 AVENUE NW",219500
10838512,"20355 128 AVENUE NW",164500
10838593,"22324 80 AVENUE NW",121000
10838565,"6407 169 AVENUE NW",116500
9982109,"9884 82 AVENUE NW",1577000
10797410,"415-7508 GETTY GATE NW",209500
10831524,"1795 DUMONT CRESCENT SW",104500
10826689,"2703 ANTON PLACE SW",136000
10831496,"1782 DUMONT CRESCENT SW",106000
10838604,"8025 223 STREET NW",93500
10826686,"2709 ANTON PLACE SW",138500
10795197,"33-12604 153 AVENUE NW",237000
10826730,"403 ALLARD BOULEVARD SW",110000
10831566,"1215 DANIELS CRESCENT SW",148000
10831602,"1241 DANIELS CRESCENT SW",113500
10776135,"1071 EBY ROAD SW",1201000
10838583,"8036 223 STREET NW",120000
10831500,"1774 DUMONT CRESCENT SW",106500
10838558,"6414 169 AVENUE NW",111500
10706699,"711 HOWATT DRIVE SW",500
10786514,"333-503 ALBANY WAY NW",220000
4305678,"616-10770 WINTERBURN ROAD NW",0
10838627,"22325 80 AVENUE NW",110000
10838616,"22303 80 AVENUE NW",134000
10590976,"10551 107 STREET NW",20500
10838461,"12801 203 STREET NW",178500
10797412,"417-7508 GETTY GATE NW",208500
10797381,"308-7508 GETTY GATE NW",220500
10797384,"311-7508 GETTY GREEN GATE NW",159500
10838597,"22404 80 AVENUE NW",121000
10729264,"1325 184 STREET SW",2850000
10838605,"8023 223 STREET NW",117500
10826713,"366 ALLARD BOULEVARD SW",109500
10831562,"1223 DANIELS CRESCENT SW",141500
10831579,"1218 DANIELS CRESCENT SW",138500
10826674,"5003 ANDISON CLOSE SW",103500
10831536,"1771 DUMONT CRESCENT SW",114000
1170430,"11316 129 AVENUE NW",346000
10838613,"8007 223 STREET NW",115000
10831595,"1741 DUMONT CRESCENT SW",129500
10838631,"22405 80 AVENUE NW",110000
10831576,"1224 DANIELS CRESCENT SW",131000
10749721,"1188 CY BECKER ROAD NW",176000
10838621,"22313 80 AVENUE NW",112500
10826697,"398 ALLARD BOULEVARD SW",85000
10838614,"8005 223 STREET NW",120500
10831533,"1777 DUMONT CRESCENT SW",129500
10838578,"6419 170 AVENUE NW",115500
